year,month,demand,temp
2012,Jan,7241049.063716005,21.833299731182795
2012,Feb,6874543.364566006,21.384985632183906
2012,Mar,6746560.032601996,18.632862903225806
2012,Apr,6401078.203136,16.65537447988904
2012,May,7375176.691948008,13.190591397849465
2012,Jun,7388455.773842005,11.010868055555555
2012,Jul,7568114.394725994,10.96918682795699
2012,Aug,7492260.906521999,11.304301075268816
2012,Sep,6567195.86887399,13.735243055555555
2012,Oct,6680704.633240006,15.155047106325704
2012,Nov,6420545.676410009,18.148472222222225
2012,Dec,6450674.678081992,19.62883064516129
2013,Jan,6881468.085420004,21.11189516129032
2013,Feb,6651727.331785992,22.636235119047623
2013,Mar,7116744.7137659835,21.597513440860215
2013,Apr,6390977.299542003,16.48287101248266
2013,May,7117877.145151998,13.720094086021504
2013,Jun,7151961.940480003,10.996388888888887
2013,Jul,7367263.766501996,11.81505376344086
2013,Aug,7189623.404854002,12.4682123655914
2013,Sep,6334661.023424002,15.350486111111113
2013,Oct,6561559.675588001,14.925504710632572
2013,Nov,6293558.483432003,16.555833333333332
2013,Dec,6409097.571011997,18.802284946236558
2014,Jan,7180299.409626007,22.127352150537632
2014,Feb,6473044.402790006,21.475000000000005
2014,Mar,6544840.435662013,19.78870967741935
2014,Apr,6282711.811549986,16.85527045769764
2014,May,6802466.698033995,14.99435483870968
2014,Jun,6918458.234071996,12.539930555555552
2014,Jul,7573434.737717996,11.206653225806452
2014,Aug,7277358.683347989,11.608602150537639
2014,Sep,6502393.928010002,14.174027777777782
2014,Oct,6556245.060745993,16.298183041722744
2014,Nov,6227068.171732004,18.00854166666667
2014,Dec,6427888.788375997,19.32755376344086
